work_id	title	author	rating	category	fandom	relationship	character	additional tags	language	published	status	status date	words	chapters	comments	kudos	bookmarks	hits
38745036	KID Killer, Son of Kaitou KID?!	['Takara_Phoenix']	General Audiences	M/M	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid	Kuroba Kaito | Kaitou Kid, Kudou Shinichi | Edogawa Conan, Mouri Ran, Suzuki Sonoko, Nakamori Aoko, Hakuba Saguru, Koizumi Akako, Mouri Kogorou, Nakamori Ginzou	Slash, Fluff, Misunderstanding, Fake News: Sleeping Kogoro really Kaitou KID?!, Humor, Kaito needs a hug, Pre-Relationship	English	2022-05-02	Completed	2022-05-02	1987	1/1	12	248	24	1461
38735940	heisting 101	['orphan_account']	Teen And Up Audiences	Gen, M/M	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid, Hakuba Saguru/Hattori Heiji, Hakuba Saguru & Hattori Heiji & Kudou Shinichi | Edogawa Conan & Kuroba Kaito | Kaitou Kid		Crack, Humor, Incorrect Quotes	English	2022-05-02	Completed	2022-05-02	5601	1/1	3	80	10	622
5027218	Dominoes	['scratchienails']	Teen And Up Audiences	F/F, F/M, M/M	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Kudou Shinichi | Edogawa Conan/Kuroba Kaito | Kaitou Kid	Kudou Shinichi | Edogawa Conan, Mouri Ran, Kuroba Kaito | Kaitou Kid, Hakuba Saguru, Nakamori Aoko, Hattori Heiji, Touyama Kazuha, Kudou Yuusaku, Kudou Yukiko, Haibara Ai | Miyano Shiho, Detective Conan and Magic Kaito Ensemble, Black Organization Member(s) (Meitantei Conan)	Alternate Universe - Superheroes/Superpowers, Crime Fighting, Secret Identity, Dysfunctional Relationships, Dysfunctional Family, Teenage Drama, Stream of Consciousness, Gaslighting, Emotional/Psychological Abuse, Corpses, I sink all the ships, unreliable narrators, Slow Burn, More Plot Than Probably Healthy, Canon-Typical Violence, Minor Character Death, Break Up, ShinRan at the start	English	2015-10-18	Updated	2022-05-02	158854	15/?	695	2039	489	46037
37997566	Scales	['Thornrose270']	General Audiences	Gen	名探偵コナン | Detective Conan | Case Closed	Kudou Shinichi | Edogawa Conan & Yoshida Ayumi, Kudou Shinichi | Edogawa Conan & Tsuburaya Mitsuhiko, Kudou Shinichi | Edogawa Conan & Kojima Genta, Detective Boys - Relationship, Kudou Shinichi | Edogawa Conan & Mouri Ran	Kudou Shinichi | Edogawa Conan, Yoshida Ayumi, Tsuburaya Mitsuhiko, Kojima Genta, Mouri Ran, Mouri Kogorou	mermaid au, H2O AU... but only sort of, the detective boys get mer-ified, Fluff, Friendship, I may have managed some feels so there's that, if there is any angst it's incredibly mild, this was supposed to be a oneshot, It's no longer a oneshot, how does this keep happening, Magic, random yet named backround characters are given importance, not a whole lot but enough to serve their purpose as a plot device, Art, I'm playing fast and loose with the H2O elements, knowledge of H2O is not required, might be more fun without tbh, Since we know next to nothing about DCMK magical culture, I'm going to be filling in some gaps, for the sake of plot	English	2022-03-27	Updated	2022-05-01	11387	3/?	15	75	15	573
38724240	A Stranger's Oneshots	['ALostStranger']	General Audiences	Gen	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Kudou Shinichi | Edogawa Conan & Kuroba Kaito | Kaitou Kid	Kudou Shinichi | Edogawa Conan, Kuroba Kaito | Kaitou Kid	tags will change if I add more	English	2022-05-01	Updated	2022-05-01	638	1/?	null	8	1	46
38303656	Theorem	['enola-alone (MagmaticKobaian)']	Teen And Up Audiences	Gen, M/M	名探偵コナン | Detective Conan | Case Closed	Hattori Heiji & Kudou Shinichi | Edogawa Conan, Hattori Heiji/Kudou Shinichi | Edogawa Conan	Hattori Heiji, Kudou Shinichi | Edogawa Conan	HeiShin Week 2022, Each chapter is a prompt, but also part of a narrative/thematic whole, Post-Canon, Queerplatonic Relationships, Cults, Kidnapping, Past Child Abuse, Implied/Referenced Child Abuse, There Was Only One Bed (angsty queerplatonic edition), Projecting my autism and ADHD again, Missing Persons, Other Additional Tags to Be Added, Unwilling Apotheosis, no I will not elaborate, Ambiguity, Non-Linear Narrative elements, Obliqueness, Mysticism, Mathematics, Three narrators of varying levels of reliability, Embedded Images	English	2022-04-11	Completed	2022-05-01	8510	7/7	32	22	null	336
38710056	She had waited all this time	['Angelle_wings']	General Audiences	Gen	名探偵コナン | Detective Conan | Case Closed	Kudou Shinichi | Edogawa Conan & Mouri Ran	Kudou Shinichi | Edogawa Conan, Mouri Ran	Im just tagging it as gen but i think you can assume its slightly shinran, even though it wasnt the intention so, Post-Canon, shinichi confesses that he was conan	English	2022-05-01	Completed	2022-05-01	1251	1/1	5	20	null	131
38698401	Sweet Spoils	['PhantomWriter1412']	General Audiences	M/M	Magic Kaito, 名探偵コナン | Detective Conan | Case Closed	Hakuba Saguru/Kuroba Kaito | Kaitou Kid	Hakuba Saguru, Kuroba Kaito | Kaitou Kid, Hattori Heiji, Kudou Shinichi | Edogawa Conan	Fluff, Idiots in Love, The Hakuba family has too much money	English	2022-04-30	Completed	2022-04-30	2796	1/1	4	58	11	307
37860829	Conan-kun Alert	['harunoheiji']	Teen And Up Audiences	F/M, Gen, M/M, Multi, F/F	名探偵コナン | Detective Conan | Case Closed, Magic Kaito	Satou Miwako/Takagi Wataru, Kudou Shinichi | Edogawa Conan & Takagi Wataru, Haneda Shuukichi/Miyamoto Yumi	Takagi Wataru, Miyamoto Yumi, Satou Miwako, Chiba Kazunobu, Megure Juuzou, Shiratori Ninzaburou, Kudou Shinichi | Edogawa Conan, Haibara Ai | Miyano Shiho, Kudou Yukiko	Corpse Magnet Kudou Shinichi | Edogawa Conan, Chatting & Messaging, Texting, Crack Treated Seriously, Implied/Referenced Abuse, Other Ships Not Mentioned in Tags, Eventual Romance, Angst and Humor	English	2022-03-20	Updated	2022-04-30	5908	9/?	147	228	56	3005
36266836	Mourning Dove	['rinzer']	Teen And Up Audiences	F/M	名探偵コナン | Detective Conan | Case Closed	Haibara Ai | Miyano Shiho/Kudou Shinichi | Edogawa Conan, Kudou Shinichi | Edogawa Conan & Mouri Ran, Haibara Ai | Miyano Shiho/Kuroba Kaito | Kaitou Kid	Kudou Shinichi | Edogawa Conan, Haibara Ai | Miyano Shiho, Mouri Ran, Suzuki Sonoko, Kuroba Kaito | Kaitou Kid, Kudou Yukiko, Kudou Yuusaku	Angst, Hurt/Comfort, Fluff, Domestic Fluff, Pining, Slow Burn, Character Development, Alternate Universe - Canon Divergence, AU	English	2022-01-07	Updated	2022-04-29	12166	8/?	31	49	4	916
